Time	R1P5WFSIMES	R1P5WFSQMES	R1P5WFSGMES	R1P5WFSPMES	R1P5WFSIASK	R1P5WFSQASK	R1P5WFSGASK	R1P5WFSPASK	R1P5WFSCRFP	R1P5WFSCRFPP	R1P5WFSCRRP	R1P5WFSCRRPP	R1P5WFSGLDE	R1P5WFSPLDE	R1P5WFSDETA2	R1P5WFSCFQE2	R1P5WFSDFQES
-99.7498	13348	14694	14.9941	47.7466	-1488	5889	1.76941	112.896	1.21855	-68.6041	1.41161	-165.652	0.0003021	0.0384521	12.5079	5.48008	0
-99.6998	13340	14704	14.9972	47.7466	-2246	5144	1.69189	111.654	1.2583	-60.8807	1.3911	-171.271	0.0003021	0.032959	12.1289	5.30887	0
-99.6498	13345	14701	14.9959	47.7576	-2108	4550	1.71143	110.352	1.35136	-65.094	1.20239	-169.508	0.0002014	0.0109863	10.7831	4.70477	0
-99.5998	13346	14700	14.995	47.7631	-2183	5746	1.73279	109.089	1.41228	-68.6481	1.23557	-167.822	0.00015105	0.0494385	11.5521	5.04926	0
-99.5498	13341	14700	14.9946	47.7795	-2057	5352	1.9693	107.177	1.28733	-68.681	1.32701	-166.943	0	0.0494385	11.5906	5.06654	0
-99.4998	13350	14694	14.9946	47.7631	-1805	6170	1.81732	111.357	1.41133	-66.1102	1.15325	-172.249	0.00015105	0.0384521	10.7556	4.6925	0
-99.4498	13342	14692	14.992	47.7466	-1964	5459	1.85883	114.928	1.36421	-66.4398	1.31207	-170.376	0.0003021	0.0384521	11.4478	5.0024	0
-99.3998	13344	14701	14.9968	47.7795	-1396	5994	1.83594	106.221	1.39396	-68.7854	1.14743	-167.349	0	0.0164795	10.4919	4.57481	0
-99.3498	13338	14697	14.9959	47.7631	-2238	5043	1.71143	110.352	1.26258	-68.5107	1.307	-166.745	0.00015105	0.0274658	9.97009	4.34249	0
-99.2998	13340	14697	14.9928	47.7631	-2269	5545	1.828	112.242	1.37468	-73.1689	1.19682	-165.278	0.00015105	0.0494385	10.0745	4.38889	0
-99.2498	13340	14702	14.9963	47.7631	-1860	5369	1.78375	107.622	1.38277	-67.5989	1.26724	-170.184	0.00015105	0.0219727	10.7611	4.69495	0
-99.1998	13340	14706	14.9981	47.7466	-2054	4243	1.54602	116.603	1.20618	-70.5762	1.31992	-164.498	0.0003021	-0.0109863	9.08569	3.95043	0
-99.1498	13339	14699	14.9946	47.7631	-1826	5458	1.83105	109.83	1.36183	-68.3954	1.19505	-169.579	0.00015105	0.0384521	9.4043	4.09144	0
-99.0998	13337	14703	14.9981	47.7795	-1350	5887	1.80389	101.146	1.32375	-69.4171	1.23507	-167.195	0	-0.00549316	9.59106	4.17422	0
-99.0498	13348	14700	14.9989	47.7521	-1729	5563	1.63879	109.583	1.3009	-72.4384	1.24773	-162.691	0.00025175	0.0164795	9.2395	4.01847	0
-98.9998	13345	14699	15.0002	47.774	-1132	5597	1.71356	101.552	1.25211	-69.3182	1.23633	-165.234	5.03499e-05	-0.0109863	8.43201	3.6619	0
-98.9498	13349	14692	14.9972	47.7246	-2661	4403	1.62445	120.146	1.12465	-66.2476	1.43998	-167.349	0.000503499	0.0164795	8.54736	3.71275	0
-98.8998	13345	14704	15.0002	47.774	-963	6110	1.65741	102.903	1.31804	-72.9272	1.17529	-163.087	5.03499e-05	-0.0109863	8.05298	3.49506	0
-98.8498	13342	14701	14.9963	47.7631	-2023	5448	1.78528	108.226	1.294	-57.7222	1.34196	-173.117	0.00015105	0.032959	9.85474	4.29123	0
-98.7998	13348	14702	14.9972	47.774	-1342	5784	1.79443	105.134	1.30114	-71.9769	1.16617	-162.664	5.03499e-05	0.0109863	7.86621	3.41296	0
-98.7498	13339	14705	14.9955	47.774	-1741	5764	1.85333	104.777	1.2195	-64.7919	1.34297	-170.755	5.03499e-05	0.0384521	8.58032	3.72728	0
-98.6998	13349	14698	14.9981	47.7521	-2181	4735	1.68579	111.275	1.26306	-63.2318	1.25862	-168.47	0.00025175	0.0219727	7.89368	3.42503	0
-98.6498	13341	14701	14.9933	47.818	-1027	7214	2.10358	99.212	1.38396	-73.9655	1.15604	-164.312	-0.00035245	0.0549316	8.7616	3.80725	0
-98.5998	13343	14698	14.9972	47.774	-2206	5134	1.77063	106.326	1.10336	-62.7594	1.5223	-167.975	5.03499e-05	0.032959	9.48669	4.12795	0
-98.5498	13345	14696	14.9924	47.7521	-2424	5419	1.86951	113.428	1.45322	-70.0763	1.14692	-170.239	0.00025175	0.0549316	9.81079	4.27172	0
-98.4998	13348	14701	14.9972	47.774	-1511	5273	1.76514	105.331	1.39205	-69.7247	1.12463	-166.844	5.03499e-05	0.0109863	8.71765	3.78786	0
-98.4498	13346	14702	14.9972	47.7521	-1936	5649	1.72424	111.929	1.33303	-70.274	1.1606	-165.795	0.00025175	0.032959	8.28369	3.59658	0
-98.3998	13336	14704	14.9933	47.7686	-2249	5832	1.8985	110.198	1.25544	-72.0044	1.26926	-163.823	0.0001007	0.0604248	9.10217	3.95772	0
-98.3498	13339	14703	14.9985	47.7795	-2020	5345	1.81274	103.057	1.33136	-65.6433	1.26166	-171.453	0	0.0219727	9.51965	4.14255	0
-98.2998	13337	14705	14.9989	47.796	-1062	6105	1.88782	98.9484	1.5696	-72.7734	1.00691	-165.938	-0.00015105	0.00549316	9.54712	4.15473	0
-98.2497	13341	14697	14.9968	47.7576	-1936	5649	1.65649	111.627	1.3128	-66.6925	1.24343	-169.541	0.0002014	0.0219727	8.99231	3.90915	0
-98.1997	13340	14704	14.9959	47.774	-2237	5046	1.82556	104.332	1.28162	-66.665	1.30447	-170.261	5.03499e-05	0.0274658	9.17908	3.99174	0
-98.1497	13345	14699	14.9963	47.7411	-1799	6076	1.69556	114.868	1.40086	-69.1644	1.18036	-164.641	0.00035245	0.0439453	9.01428	3.91886	0
-98.0997	13346	14704	14.9972	47.7466	-1715	4678	1.62659	111.264	1.299	-64.6161	1.25001	-168.371	0.0003021	-0.00549316	9.3219	4.05495	0
-98.0497	13343	14703	14.9937	47.774	-2270	5549	1.91132	107.573	1.36968	-73.3502	1.16414	-162.416	5.03499e-05	0.0494385	9.29443	4.04279	0
-97.9997	13345	14698	14.9946	47.7795	-1980	5765	1.97052	107.15	1.38468	-66.2146	1.21936	-169.926	0	0.0384521	10.0964	4.39867	0
